bangumi_id,year,title,original_title,assigned_type,reason,bangumi_url
448495,2023,偶像大师 闪耀色彩 第2章,アイドルマスター シャイニーカラーズ 第2章,movie,archive_subject_missing,https://bgm.tv/subject/448495
448496,2024,偶像大师 闪耀色彩 第3章,アイドルマスター シャイニーカラーズ 第3章,movie,archive_subject_missing,https://bgm.tv/subject/448496
469668,2024,"鬼灭之刃 绊之奇迹,然后与柱训练",鬼滅の刃 絆の奇跡、そして柱稽古へ,other,archive_subject_missing,https://bgm.tv/subject/469668
612170,2024,,「映画おしりたんてい なんでもかいけつ倶楽部 対 かいとうU」,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/612170
407409,2024,i☆Ris 电影版 - 活力满满!! -,i☆Ris the Movie - Full Energy!! -,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/407409
486571,2024,剧场版草莓王子 起始的物语~Strawberry School Festival!!!~,劇場版すとぷり はじまりの物語~Strawberry School Festival!!!~,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/486571
421432,2024,鼠小僧次郎吉,山中貞雄に捧げる漫画映画「鼠小僧次郎吉」,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/421432
510789,2024,剧场版 闪电十一人 新英雄的序章,劇場版 イナズマイレブン 新たなる英雄たちの序章,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/510789
505776,2025,世界计划 无法歌唱的初音未来,劇場版プロジェクトセカイ 壊れたセカイと歌えないミク,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/505776
507943,2025,,たべっ子どうぶつ THE MOVIE,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/507943
554518,2025,偶像活动×美妙天堂 电影,アイカツ!×プリパラ THE MOVIE -出会いのキセキ!-,movie,movie_title_has_franchise_marker_but_no_tv_relation,https://bgm.tv/subject/554518
