bangumi_id,year,title,old_type,new_type,bangumi_platform,has_tv_relation,classification_reason,bangumi_tags,vote_count,score_visible
188710,1967,,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
265326,1967,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
599513,1968,丑小鸭 学研版,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 小说改,1,no
323848,1968,奇妙奇妙星之国,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
599140,1968,山幸彦与海幸彦,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 冒险 / 子供向 / 历史 / 日常 / 小说改,1,no
321649,1968,影,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版,22,no
212455,1968,摘花,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版,24,no
205260,1968,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,5,no
430236,1968,十个小印第安人,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
274318,1968,可美子的爱情,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,10,no
430239,1968,爷爷当海盗那时候,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
148871,1968,安徒生物语,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,6,no
11190,1968,太阳王子霍尔斯的大冒险,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版 / 奇幻 / 原创 / 战斗,264,yes
211091,1968,鬼太郎,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,4,no
532823,1968,九尾狐和飞丸,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
378492,1968,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
378871,1969,孤身一人,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
28021,1969,长靴猫剑客,tv,tv,3,yes,番组计划用户标签标注为 TV,剧场版 / 奇幻 / 战斗 / 小说改,97,yes
28022,1969,飞天幽灵船,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 冒险,61,yes
274336,1969,巨人之星 剧场版,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,6,no
274332,1969,,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,2,no
557168,1970,冰之国的米介,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 原创,0,no
430234,1970,家，我的家,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
212456,1970,新·天地创造,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
311197,1970,花与鼹鼠,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
657606,1970,奇怪的一天,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
378870,1970,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
158777,1970,小露美,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,9,no
311183,1970,虎面人 剧场版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
274337,1970,,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,4,no
378799,1970,排球甜心 剧场版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
360130,1970,温柔的狮子,other,other,3,no,番组计划平台或用户标签标注为 OVA，按统一规则归入其他,剧场版,3,no
139356,1970,海底三万里,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版,11,no
311184,1970,虎面人 面具联盟之战,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
274338,1970,,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,4,no
378806,1970,剧场版排球甜心：泪之回转接球,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
378808,1970,剧场版 排球甜心：泪之世界选手权,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
557166,1971,去了南方的米介,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 原创,0,no
679571,1971,天满的虎太郎,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
430233,1971,小千,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
430494,1971,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
430231,1971,十二月的歌,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
378810,1971,剧场版 排球甜心：泪之不死鸟,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
