review_status,year,wikipedia_title_zh,wikipedia_title_ja,wikipedia_release_date,wikipedia_url,candidate_1_id,candidate_1_title_cn,candidate_1_title,candidate_1_score,candidate_2_id,candidate_2_title,candidate_2_score,candidate_3_id,candidate_3_title,candidate_3_score,manual_decision,manual_bangumi_id,manual_note,best_japanese_candidate_id,best_japanese_candidate_title,japanese_similarity,core_title_similarity,release_month_day_same,uniqueness_margin,automatic_review_note
wikipedia_only,2020,约会大作战 赤黑新章:红或白,デート・ア・バレット ナイトメア・オア・クイーン,11月13日,https://zh.wikipedia.org/wiki/%E7%B4%84%E6%9C%83%E5%A4%A7%E4%BD%9C%E6%88%B0,309869,工作细胞:细胞大作战,「はたらく細胞!!」最強の敵、再び。体の中は“腸”大騒ぎ!,0.2857,242216,劇場版 ヴァイオレット・エヴァーガーデン,0.2703,485843,Bình Ngô đại chiến,0.25,,,,242216,劇場版 ヴァイオレット・エヴァーガーデン,0.2703,0.2941,no,0.2428,未达到保守的自动确认阈值
wikipedia_only,2020,苍穹之战神 THE BEYOND(第7-9话),蒼穹のファフナー THE BEYOND,11月13日,https://zh.wikipedia.org/wiki/%E8%92%BC%E7%A9%B9%E4%B9%8B%E6%88%B0%E7%A5%9E,317884,飞奔去月球,Over the Moon,0.3571,309793,ド級編隊エグゼロス エグゼロスの日常 OAD,0.3,588247,劇場版 ごん -GON THE LITTLE FOX-,0.2703,,,,317884,Over the Moon,0.3571,0.3571,no,0.0446,未达到保守的自动确认阈值
wikipedia_only,2020,灰色:幻影扳机 THE ANIMATIION STARGAZER,グリザイア:ファントムトリガー THE ANIMATIION STARGAZER,11月27日,https://zh.wikipedia.org/wiki/%E7%81%B0%E8%89%B2%EF%BC%9A%E5%B9%BB%E5%BD%B1%E6%89%B3%E6%A9%9F,299934,超次元游戏 海王星 ~Hi☆Light~,超次元ゲイム ネプテューヌ THE ANIMATION ~Hi☆Light~,0.4776,279365,超次元ゲイム ネプテューヌ THE ANIMATION ~ねぷのなつやすみ~,0.4412,379657,DC Showcase: The Phantom Stranger,0.4286,,,,299934,超次元ゲイム ネプテューヌ THE ANIMATION ～Hi☆Light～,0.4776,0.4776,no,0.0364,未达到保守的自动确认阈值
wikipedia_only,2021,明日之叶,Tomorrow's Leaves,7月23日,https://zh.wikipedia.org/w/index.php?title=%E6%98%8E%E6%97%A5%E4%B9%8B%E8%91%89&action=edit&redlink=1,551902,穿越,La traversée,0.4615,348295,Mortal Kombat Legends: Battle of the Realms,0.3529,337699,The Mitchells vs. The Machines,0.35,,,,551902,La traversée,0.4615,0.4615,no,0.1086,未达到保守的自动确认阈值
wikipedia_only,2021,苍穹之战神 THE BEYOND(第10-12话),蒼穹のファフナー THE BEYOND,11月5日,https://zh.wikipedia.org/wiki/%E8%92%BC%E7%A9%B9%E4%B9%8B%E6%88%B0%E7%A5%9E,329948,水星领航员 The BENEDIZIONE,ARIA The BENEDIZIONE,0.4,403584,The Spine of Night,0.375,281325,グリザイア:ファントムトリガー THE ANIMATION スターゲイザー,0.32,,,,329948,ARIA The BENEDIZIONE,0.4,0.4,no,0.025,未达到保守的自动确认阈值
wikipedia_only,2022,电影版 DEEMO 樱色旋律 -你所弹奏的琴音 至今仍在回响-,劇場版 DEEMO サクラノオト -あなたの奏でた音が、今も響く-,2月25日,https://zh.wikipedia.org/wiki/%E9%9B%BB%E5%BD%B1%E7%89%88_DEEMO_%E6%AB%BB%E8%89%B2%E6%97%8B%E5%BE%8B_-%E4%BD%A0%E6%89%80%E5%BD%88%E5%A5%8F%E7%9A%84%E7%90%B4%E9%9F%B3_%E8%87%B3%E4%BB%8A%E4%BB%8D%E5%9C%A8%E8%BF%B4%E9%9F%BF-,294752,"DEEMO 樱花之音 -你奏响的音乐,如今依旧回荡- I still hear the sound of your piano",DEEMO サクラノオト -あなたの奏でた音が、今も響く- I still hear the sound of your piano,0.6,351713,劇場版アイカツプラネット!,0.2564,372472,劇場版IDOL舞SHOW,0.2564,,,,294752,DEEMO サクラノオト -あなたの奏でた音が、今も響く- I still hear the sound of your piano,0.6,0.6234,yes,0.392,未达到保守的自动确认阈值
likely_translation,2022,银河英雄传说 Die Neue These 激突(第3期第1章),銀河英雄伝説 Die Neue These 激突,3月4日,https://zh.wikipedia.org/wiki/%E9%8A%80%E6%B2%B3%E8%8B%B1%E9%9B%84%E5%82%B3%E8%AA%AA,361385,银河英雄传说 Die Neue These 激突 第3章,銀河英雄伝説 Die Neue These 激突 第3章,0.9388,315026,銀河英雄伝説 Die Neue These 激突 第1章,0.9388,361384,銀河英雄伝説 Die Neue These 激突 第2章,0.9302,,,,315026,銀河英雄伝説 Die Neue These 激突 第1章,0.9302,0.9302,yes,0.025,未达到保守的自动确认阈值
likely_translation,2022,银河英雄传说 Die Neue These 激突(第3期第2章),銀河英雄伝説 Die Neue These 激突,4月1日,https://zh.wikipedia.org/wiki/%E9%8A%80%E6%B2%B3%E8%8B%B1%E9%9B%84%E5%82%B3%E8%AA%AA,361385,银河英雄传说 Die Neue These 激突 第3章,銀河英雄伝説 Die Neue These 激突 第3章,0.9388,361384,銀河英雄伝説 Die Neue These 激突 第2章,0.9388,315026,銀河英雄伝説 Die Neue These 激突 第1章,0.9302,,,,361384,銀河英雄伝説 Die Neue These 激突 第2章,0.9302,0.9302,yes,0.025,未达到保守的自动确认阈值
likely_translation,2022,银河英雄传说 Die Neue These 激突(第3期第3章),銀河英雄伝説 Die Neue These 激突,5月13日,https://zh.wikipedia.org/wiki/%E9%8A%80%E6%B2%B3%E8%8B%B1%E9%9B%84%E5%82%B3%E8%AA%AA,361385,银河英雄传说 Die Neue These 激突 第3章,銀河英雄伝説 Die Neue These 激突 第3章,0.9388,361384,銀河英雄伝説 Die Neue These 激突 第2章,0.9302,315026,銀河英雄伝説 Die Neue These 激突 第1章,0.9302,,,,361385,銀河英雄伝説 Die Neue These 激突 第3章,0.9302,0.9302,yes,0.025,未达到保守的自动确认阈值
likely_translation,2022,特‘刀剑乱舞-花丸-’~雪之卷~,特『刀剣乱舞-花丸-』~雪ノ巻~,5月20日,https://zh.wikipedia.org/wiki/%E5%88%80%E5%8A%8D%E4%BA%82%E8%88%9E,365706,特『刀剑乱舞-花丸-』~雪月花~花之卷,特『刀剣乱舞-花丸-』~雪月華~華ノ巻,0.8696,365705,特『刀剣乱舞-花丸-』~雪月華~月ノ巻,0.8696,328197,特『刀剣乱舞-花丸-』~雪月華~雪ノ巻,0.8696,,,,328197,特『刀剣乱舞-花丸-』～雪月華～雪ノ巻,0.8696,0.8696,yes,0.025,未达到保守的自动确认阈值
