year,bangumi_id,title,type,bangumi_platform,theatrical_status,theatrical_release_dates,other_country_release_dates,home_video_release_dates,runtime,runtime_minutes,classification_reason,metadata_needs_review
1969,274336,巨人之星 剧场版,theatrical,Movie,confirmed,1969年7月26日,,,90分,90,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1969,274332,,movie,Movie,confirmed,1969年12月20日,,,70分钟,70,番组计划平台为 Movie，标题未标为剧场版,no
1970,557168,冰之国的米介,movie,Movie,confirmed,1970年7月,,,16分钟,16,番组计划平台为 Movie，标题未标为剧场版,no
1970,430234,家，我的家,movie,Movie,confirmed,1970年,,,4分钟,4,番组计划平台为 Movie，标题未标为剧场版,no
1970,212456,新·天地创造,movie,Movie,confirmed,1970年,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1970,311197,花与鼹鼠,movie,Movie,confirmed,1970年,,,15分钟,15,番组计划平台为 Movie，标题未标为剧场版,no
1970,657606,奇怪的一天,movie,Movie,confirmed,1970年3月15日,,,6分钟,6,番组计划平台为 Movie，标题未标为剧场版,no
1970,378870,,movie,Movie,confirmed,1970年3月17日,,,25分钟,25,番组计划平台为 Movie，标题未标为剧场版,no
1970,158777,小露美,movie,Movie,confirmed,1970年3月17日,,,81分,81,番组计划平台为 Movie，标题未标为剧场版,no
1970,311183,虎面人 剧场版,theatrical,Movie,confirmed,1970年3月17日,,,50分钟,50,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1970,274337,,movie,Movie,confirmed,1970年3月21日,,,69 分钟,69,番组计划平台为 Movie，标题未标为剧场版,no
1970,378799,排球甜心 剧场版,theatrical,Movie,confirmed,1970年3月21日,,,62分,62,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1970,360130,温柔的狮子,movie,Movie,confirmed,1970年3月21日,,,24分钟,24,番组计划平台为 Movie，标题未标为剧场版,no
1970,139356,海底三万里,movie,Movie,confirmed,1970年7月19日,,,60分,60,番组计划平台为 Movie，标题未标为剧场版,no
1970,311184,虎面人 面具联盟之战,movie,Movie,confirmed,1970年7月19日,,,55分钟,55,番组计划平台为 Movie，标题未标为剧场版,no
